127.0.0.1 - - [27/Apr/2020:17:39:48 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [27/Apr/2020:17:40:05 +0530] "GET /ORSProj3/ HTTP/1.1" 200 1554
0:0:0:0:0:0:0:1 - - [27/Apr/2020:17:40:08 +0530] "GET /ORSProj3/img/customLogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:17:40:08 +0530] "GET /ORSProj3/img/455165.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:17:40:18 +0530] "GET /ORSProj3/WelcomeCtl HTTP/1.1" 200 3666
0:0:0:0:0:0:0:1 - - [27/Apr/2020:17:41:20 +0530] "GET /ORSProj3/LoginCtl HTTP/1.1" 200 5482
0:0:0:0:0:0:0:1 - - [27/Apr/2020:17:41:45 +0530] "POST /ORSProj3/LoginCtl HTTP/1.1" 200 5615
0:0:0:0:0:0:0:1 - - [27/Apr/2020:17:41:52 +0530] "POST /ORSProj3/LoginCtl HTTP/1.1" 200 5736
0:0:0:0:0:0:0:1 - - [27/Apr/2020:17:42:35 +0530] "POST /ORSProj3/LoginCtl HTTP/1.1" 200 5731
0:0:0:0:0:0:0:1 - - [27/Apr/2020:17:42:51 +0530] "POST /ORSProj3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:17:42:51 +0530] "GET /ORSProj3/WelcomeCtl HTTP/1.1" 200 8958
0:0:0:0:0:0:0:1 - - [27/Apr/2020:17:43:05 +0530] "GET /ORSProj3/ctl/UserCtl HTTP/1.1" 200 13878
0:0:0:0:0:0:0:1 - - [27/Apr/2020:17:43:05 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [27/Apr/2020:17:43:24 +0530] "GET /ORSProj3/ctl/UserListCtl HTTP/1.1" 200 14404
0:0:0:0:0:0:0:1 - - [27/Apr/2020:17:43:24 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [27/Apr/2020:17:43:24 +0530] "GET /ORSProj3/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:17:43:24 +0530] "GET /ORSProj3/js/Checkbox11.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:17:45:20 +0530] "GET /ORSProj3/ctl/UserListCtl HTTP/1.1" 200 14404
0:0:0:0:0:0:0:1 - - [27/Apr/2020:17:45:20 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [27/Apr/2020:17:45:23 +0530] "GET /ORSProj3/ctl/UserCtl HTTP/1.1" 200 13878
0:0:0:0:0:0:0:1 - - [27/Apr/2020:17:45:23 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [27/Apr/2020:17:50:36 +0530] "POST /ORSProj3/ctl/UserCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:17:50:36 +0530] "GET /ORSProj3/ctl/UserCtl HTTP/1.1" 200 13878
0:0:0:0:0:0:0:1 - - [27/Apr/2020:17:50:36 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [27/Apr/2020:17:50:51 +0530] "POST /ORSProj3/ctl/UserCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:17:50:51 +0530] "GET /ORSProj3/ctl/UserCtl HTTP/1.1" 200 13878
0:0:0:0:0:0:0:1 - - [27/Apr/2020:17:50:51 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [27/Apr/2020:17:58:15 +0530] "GET /ORSProj3/ctl/CourseListCtl HTTP/1.1" 200 13587
0:0:0:0:0:0:0:1 - - [27/Apr/2020:17:58:15 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [27/Apr/2020:17:58:18 +0530] "POST /ORSProj3/ctl/CourseListCtl HTTP/1.1" 200 12677
0:0:0:0:0:0:0:1 - - [27/Apr/2020:17:58:18 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [27/Apr/2020:18:01:02 +0530] "POST /ORSProj3/ctl/CourseListCtl HTTP/1.1" 200 13587
0:0:0:0:0:0:0:1 - - [27/Apr/2020:18:01:02 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [27/Apr/2020:18:01:22 +0530] "POST /ORSProj3/ctl/CourseListCtl HTTP/1.1" 200 13816
