127.0.0.1 - - [27/Feb/2022:12:45:33 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:45:44 +0530] "GET /ORSProj3/ HTTP/1.1" 200 1554
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:45:54 +0530] "GET /ORSProj3/WelcomeCtl HTTP/1.1" 200 3666
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:45:58 +0530] "GET /ORSProj3/LoginCtl HTTP/1.1" 200 5484
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:46:03 +0530] "GET /ORSProj3/ForgetPasswordCtl HTTP/1.1" 200 4712
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:46:31 +0530] "POST /ORSProj3/ForgetPasswordCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:46:31 +0530] "GET /ORSProj3/ErrorCtl HTTP/1.1" 200 1029
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:46:35 +0530] "GET /ORSProj3/WelcomeCtl HTTP/1.1" 200 3666
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:46:49 +0530] "GET /ORSProj3/WelcomeCtl HTTP/1.1" 200 3666
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:46:53 +0530] "GET /ORSProj3/ForgetPasswordCtl HTTP/1.1" 200 4712
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:46:56 +0530] "POST /ORSProj3/ForgetPasswordCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:46:56 +0530] "GET /ORSProj3/ErrorCtl HTTP/1.1" 200 1029
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:47:17 +0530] "GET /ORSProj3/WelcomeCtl HTTP/1.1" 200 3666
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:47:20 +0530] "GET /ORSProj3/WelcomeCtl HTTP/1.1" 200 3666
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:47:21 +0530] "GET /ORSProj3/WelcomeCtl HTTP/1.1" 200 3666
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:47:21 +0530] "GET /ORSProj3/WelcomeCtl HTTP/1.1" 200 3666
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:47:21 +0530] "GET /ORSProj3/WelcomeCtl HTTP/1.1" 200 3666
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:47:22 +0530] "GET /ORSProj3/WelcomeCtl HTTP/1.1" 200 3666
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:47:26 +0530] "GET /ORSProj3/ForgetPasswordCtl HTTP/1.1" 200 4712
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:47:37 +0530] "POST /ORSProj3/ForgetPasswordCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:47:37 +0530] "GET /ORSProj3/ErrorCtl HTTP/1.1" 200 1029
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:54:04 +0530] "GET /ORSProj3/WelcomeCtl HTTP/1.1" 200 3666
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:54:17 +0530] "GET /ORSProj3/WelcomeCtl HTTP/1.1" 200 3666
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:54:24 +0530] "GET /ORSProj3/ForgetPasswordCtl HTTP/1.1" 200 4712
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:54:29 +0530] "POST /ORSProj3/ForgetPasswordCtl HTTP/1.1" 500 2029
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:57:10 +0530] "GET /ORSProj3/ForgetPasswordCtl HTTP/1.1" 200 4712
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:57:37 +0530] "POST /ORSProj3/ForgetPasswordCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:57:37 +0530] "GET /ORSProj3/ErrorCtl HTTP/1.1" 200 1029
0:0:0:0:0:0:0:1 - - [27/Feb/2022:12:57:41 +0530] "GET /ORSProj3/WelcomeCtl HTTP/1.1" 200 3666
