127.0.0.1 - - [08/Feb/2022:19:56:35 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [08/Feb/2022:19:56:37 +0530] "GET /ORSProj3/ HTTP/1.1" 200 1554
0:0:0:0:0:0:0:1 - - [08/Feb/2022:19:56:38 +0530] "GET /ORSProj3/img/455165.jpg HTTP/1.1" 200 172450
0:0:0:0:0:0:0:1 - - [08/Feb/2022:19:56:38 +0530] "GET /ORSProj3/img/customLogo.png HTTP/1.1" 200 17583
0:0:0:0:0:0:0:1 - - [08/Feb/2022:19:56:39 +0530] "GET /ORSProj3/img/logo.png HTTP/1.1" 200 19649
0:0:0:0:0:0:0:1 - - [08/Feb/2022:20:13:33 +0530] "GET /ORSProj3/WelcomeCtl HTTP/1.1" 200 3666
0:0:0:0:0:0:0:1 - - [08/Feb/2022:20:28:52 +0530] "GET /ORSProj3/LoginCtl HTTP/1.1" 200 5482
0:0:0:0:0:0:0:1 - - [08/Feb/2022:20:29:52 +0530] "POST /ORSProj3/LoginCtl HTTP/1.1" 200 5735
0:0:0:0:0:0:0:1 - - [08/Feb/2022:20:29:52 +0530] "POST /ORSProj3/LoginCtl HTTP/1.1" 200 5735
0:0:0:0:0:0:0:1 - - [08/Feb/2022:20:30:50 +0530] "POST /ORSProj3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Feb/2022:20:30:50 +0530] "GET /ORSProj3/WelcomeCtl HTTP/1.1" 200 8956
0:0:0:0:0:0:0:1 - - [08/Feb/2022:20:40:23 +0530] "GET /ORSProj3/doc/index.html HTTP/1.1" 200 2937
0:0:0:0:0:0:0:1 - - [08/Feb/2022:20:40:23 +0530] "GET /ORSProj3/doc/overview-frame.html HTTP/1.1" 200 1426
0:0:0:0:0:0:0:1 - - [08/Feb/2022:20:40:23 +0530] "GET /ORSProj3/doc/overview-summary.html HTTP/1.1" 200 5068
0:0:0:0:0:0:0:1 - - [08/Feb/2022:20:40:23 +0530] "GET /ORSProj3/doc/allclasses-frame.html HTTP/1.1" 200 14500
0:0:0:0:0:0:0:1 - - [08/Feb/2022:20:40:23 +0530] "GET /ORSProj3/doc/stylesheet.css HTTP/1.1" 200 13416
0:0:0:0:0:0:0:1 - - [08/Feb/2022:20:40:23 +0530] "GET /ORSProj3/doc/script.js HTTP/1.1" 200 857
0:0:0:0:0:0:0:1 - - [08/Feb/2022:20:40:23 +0530] "GET /ORSProj3/doc/resources/fonts/dejavu.css HTTP/1.1" 404 1129
0:0:0:0:0:0:0:1 - - [08/Feb/2022:20:40:23 +0530] "GET /ORSProj3/doc/resources/fonts/dejavu.css HTTP/1.1" 404 1129
0:0:0:0:0:0:0:1 - - [08/Feb/2022:20:40:23 +0530] "GET /ORSProj3/doc/resources/fonts/dejavu.css HTTP/1.1" 404 1129
0:0:0:0:0:0:0:1 - - [08/Feb/2022:20:40:24 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
