127.0.0.1 - - [21/Feb/2022:16:02:28 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [21/Feb/2022:16:03:30 +0530] "GET /ORSProj3/ HTTP/1.1" 200 1554
0:0:0:0:0:0:0:1 - - [21/Feb/2022:16:03:36 +0530] "GET /ORSProj3/WelcomeCtl HTTP/1.1" 200 3666
0:0:0:0:0:0:0:1 - - [21/Feb/2022:16:05:24 +0530] "GET /ORSProj3/ HTTP/1.1" 200 1531
0:0:0:0:0:0:0:1 - - [21/Feb/2022:16:06:58 +0530] "GET /ORSProj3/ HTTP/1.1" 200 1569
0:0:0:0:0:0:0:1 - - [21/Feb/2022:16:07:01 +0530] "GET /ORSProj3/ HTTP/1.1" 200 1569
0:0:0:0:0:0:0:1 - - [21/Feb/2022:16:07:02 +0530] "GET /ORSProj3/ HTTP/1.1" 200 1569
0:0:0:0:0:0:0:1 - - [21/Feb/2022:16:07:11 +0530] "GET /ORSProj3/ HTTP/1.1" 200 1554
0:0:0:0:0:0:0:1 - - [21/Feb/2022:16:07:25 +0530] "GET /ORSProj3/WelcomeCtl HTTP/1.1" 200 3666
0:0:0:0:0:0:0:1 - - [21/Feb/2022:16:07:33 +0530] "GET /ORSProj3/LoginCtl HTTP/1.1" 200 5484
0:0:0:0:0:0:0:1 - - [21/Feb/2022:16:07:38 +0530] "GET /ORSProj3/UserRegistrationCtl HTTP/1.1" 200 8019
0:0:0:0:0:0:0:1 - - [21/Feb/2022:16:07:38 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [21/Feb/2022:16:08:26 +0530] "GET /ORSProj3/UserRegistrationCtl HTTP/1.1" 200 8019
0:0:0:0:0:0:0:1 - - [21/Feb/2022:16:08:26 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [21/Feb/2022:16:08:36 +0530] "GET /ORSProj3/ForgetPasswordCtl HTTP/1.1" 200 4712
