0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:43:16 +0530] "POST /ORSProj3/ctl/MarksheetListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:43:16 +0530] "GET /ORSProj3/ctl/MarksheetListCtl HTTP/1.1" 200 10114
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:43:16 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:43:17 +0530] "POST /ORSProj3/ctl/MarksheetListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:43:17 +0530] "GET /ORSProj3/ctl/MarksheetListCtl HTTP/1.1" 200 10114
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:43:17 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:43:17 +0530] "POST /ORSProj3/ctl/MarksheetListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:43:17 +0530] "GET /ORSProj3/ctl/MarksheetListCtl HTTP/1.1" 200 10114
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:43:18 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:43:18 +0530] "POST /ORSProj3/ctl/MarksheetListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:43:18 +0530] "GET /ORSProj3/ctl/MarksheetListCtl HTTP/1.1" 200 10114
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:43:18 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:43:19 +0530] "POST /ORSProj3/ctl/MarksheetListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:43:19 +0530] "GET /ORSProj3/ctl/MarksheetListCtl HTTP/1.1" 200 10114
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:43:19 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:43:21 +0530] "POST /ORSProj3/ctl/MarksheetListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:43:21 +0530] "GET /ORSProj3/ctl/MarksheetListCtl HTTP/1.1" 200 10114
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:43:21 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:43:36 +0530] "GET /ORSProj3/ctl/MarksheetListCtl HTTP/1.1" 200 10114
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:43:36 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:43:40 +0530] "GET /ORSProj3/ctl/GetMarksheetCtl HTTP/1.1" 200 9969
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:43:42 +0530] "GET /ORSProj3/ctl/MarksheetMeritListCtl HTTP/1.1" 200 9952
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:43:42 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:43:46 +0530] "GET /ORSProj3/ctl/CollegeListCtl HTTP/1.1" 200 13842
