127.0.0.1 - - [06/Jan/2022:18:39:31 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [06/Jan/2022:18:39:57 +0530] "GET /ORSProj3/ HTTP/1.1" 200 1554
0:0:0:0:0:0:0:1 - - [06/Jan/2022:18:40:12 +0530] "GET /ORSProj3/WelcomeCtl HTTP/1.1" 200 3666
0:0:0:0:0:0:0:1 - - [06/Jan/2022:18:40:19 +0530] "GET /ORSProj3/LoginCtl HTTP/1.1" 200 5482
0:0:0:0:0:0:0:1 - - [06/Jan/2022:18:40:50 +0530] "POST /ORSProj3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Jan/2022:18:40:50 +0530] "GET /ORSProj3/WelcomeCtl HTTP/1.1" 200 8956
0:0:0:0:0:0:0:1 - - [06/Jan/2022:18:41:11 +0530] "GET /ORSProj3/ctl/SubjectListCtl HTTP/1.1" 200 14048
0:0:0:0:0:0:0:1 - - [06/Jan/2022:18:41:12 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [06/Jan/2022:18:41:18 +0530] "POST /ORSProj3/ctl/SubjectListCtl HTTP/1.1" 200 13766
0:0:0:0:0:0:0:1 - - [06/Jan/2022:18:41:18 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [06/Jan/2022:18:41:25 +0530] "POST /ORSProj3/ctl/SubjectListCtl HTTP/1.1" 200 14048
0:0:0:0:0:0:0:1 - - [06/Jan/2022:18:41:25 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [06/Jan/2022:18:41:28 +0530] "POST /ORSProj3/ctl/SubjectListCtl HTTP/1.1" 200 13766
0:0:0:0:0:0:0:1 - - [06/Jan/2022:18:41:28 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [06/Jan/2022:18:41:30 +0530] "GET /ORSProj3/ctl/SubjectCtl?id=6 HTTP/1.1" 200 11245
0:0:0:0:0:0:0:1 - - [06/Jan/2022:18:41:33 +0530] "POST /ORSProj3/ctl/SubjectCtl HTTP/1.1" 200 11461
0:0:0:0:0:0:0:1 - - [06/Jan/2022:18:41:35 +0530] "POST /ORSProj3/ctl/SubjectCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Jan/2022:18:41:35 +0530] "GET /ORSProj3/ctl/SubjectListCtl HTTP/1.1" 200 14048
0:0:0:0:0:0:0:1 - - [06/Jan/2022:18:41:35 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [06/Jan/2022:18:41:37 +0530] "POST /ORSProj3/ctl/SubjectListCtl HTTP/1.1" 200 13768
0:0:0:0:0:0:0:1 - - [06/Jan/2022:18:41:37 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [06/Jan/2022:18:41:40 +0530] "GET /ORSProj3/ctl/SubjectCtl?id=7 HTTP/1.1" 200 11252
0:0:0:0:0:0:0:1 - - [06/Jan/2022:18:41:45 +0530] "POST /ORSProj3/ctl/SubjectCtl HTTP/1.1" 200 11468
0:0:0:0:0:0:0:1 - - [06/Jan/2022:18:41:47 +0530] "POST /ORSProj3/ctl/SubjectCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Jan/2022:18:41:47 +0530] "GET /ORSProj3/ctl/SubjectListCtl HTTP/1.1" 200 14048
0:0:0:0:0:0:0:1 - - [06/Jan/2022:18:41:47 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [06/Jan/2022:18:41:57 +0530] "POST /ORSProj3/ctl/SubjectListCtl HTTP/1.1" 200 13770
0:0:0:0:0:0:0:1 - - [06/Jan/2022:18:41:57 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [06/Jan/2022:18:42:03 +0530] "GET /ORSProj3/ctl/SubjectCtl?id=8 HTTP/1.1" 200 11239
0:0:0:0:0:0:0:1 - - [06/Jan/2022:18:42:05 +0530] "POST /ORSProj3/ctl/SubjectCtl HTTP/1.1" 200 11455
0:0:0:0:0:0:0:1 - - [06/Jan/2022:18:42:07 +0530] "POST /ORSProj3/ctl/SubjectCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Jan/2022:18:42:07 +0530] "GET /ORSProj3/ctl/SubjectListCtl HTTP/1.1" 200 14048
0:0:0:0:0:0:0:1 - - [06/Jan/2022:18:42:07 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [06/Jan/2022:18:42:09 +0530] "POST /ORSProj3/ctl/SubjectListCtl HTTP/1.1" 200 13771
0:0:0:0:0:0:0:1 - - [06/Jan/2022:18:42:09 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [06/Jan/2022:18:42:11 +0530] "GET /ORSProj3/ctl/SubjectCtl?id=9 HTTP/1.1" 200 11247
0:0:0:0:0:0:0:1 - - [06/Jan/2022:18:42:15 +0530] "POST /ORSProj3/ctl/SubjectCtl HTTP/1.1" 200 11463
0:0:0:0:0:0:0:1 - - [06/Jan/2022:18:42:17 +0530] "POST /ORSProj3/ctl/SubjectCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Jan/2022:18:42:17 +0530] "GET /ORSProj3/ctl/SubjectListCtl HTTP/1.1" 200 14048
0:0:0:0:0:0:0:1 - - [06/Jan/2022:18:42:17 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [06/Jan/2022:18:42:19 +0530] "POST /ORSProj3/ctl/SubjectListCtl HTTP/1.1" 200 13772
0:0:0:0:0:0:0:1 - - [06/Jan/2022:18:42:19 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [06/Jan/2022:18:42:28 +0530] "POST /ORSProj3/ctl/SubjectListCtl HTTP/1.1" 200 14048
0:0:0:0:0:0:0:1 - - [06/Jan/2022:18:42:28 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [06/Jan/2022:18:42:40 +0530] "POST /ORSProj3/ctl/SubjectListCtl HTTP/1.1" 200 10104
0:0:0:0:0:0:0:1 - - [06/Jan/2022:18:42:41 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [06/Jan/2022:18:42:42 +0530] "POST /ORSProj3/ctl/SubjectListCtl HTTP/1.1" 200 14048
0:0:0:0:0:0:0:1 - - [06/Jan/2022:18:42:42 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [06/Jan/2022:18:42:48 +0530] "POST /ORSProj3/ctl/SubjectListCtl HTTP/1.1" 200 13143
0:0:0:0:0:0:0:1 - - [06/Jan/2022:18:42:48 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [06/Jan/2022:18:42:51 +0530] "POST /ORSProj3/ctl/SubjectListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Jan/2022:18:42:51 +0530] "GET /ORSProj3/ctl/SubjectListCtl HTTP/1.1" 200 14048
0:0:0:0:0:0:0:1 - - [06/Jan/2022:18:42:51 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [06/Jan/2022:18:43:34 +0530] "POST /ORSProj3/ctl/SubjectListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Jan/2022:18:43:34 +0530] "GET /ORSProj3/ctl/SubjectCtl HTTP/1.1" 200 11168
0:0:0:0:0:0:0:1 - - [06/Jan/2022:18:57:25 +0530] "GET /ORSProj3/ctl/SubjectListCtl HTTP/1.1" 200 14048
0:0:0:0:0:0:0:1 - - [06/Jan/2022:18:57:25 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [06/Jan/2022:18:57:30 +0530] "GET /ORSProj3/ctl/CourseListCtl HTTP/1.1" 200 13538
0:0:0:0:0:0:0:1 - - [06/Jan/2022:18:57:30 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [06/Jan/2022:18:57:46 +0530] "GET /ORSProj3/ctl/CourseCtl?id=5 HTTP/1.1" 200 11293
0:0:0:0:0:0:0:1 - - [06/Jan/2022:18:58:32 +0530] "POST /ORSProj3/ctl/CourseCtl HTTP/1.1" 200 11515
